序號,券商,價格,買進股數,賣出股數
593,8890 大和國泰,180.5,2000,47000
594,8890 大和國泰,181,8000,53000
595,8900 法銀巴黎,180.5,0,327000
596,8900 法銀巴黎,181,0,655000
597,8960 上海匯豐,180,0,8000
598,8960 上海匯豐,180.5,67000,246000
599,8960 上海匯豐,181,705000,305323
600,8960 上海匯豐,181.5,70000,27000
601,9100 群益,180.5,1000,0
602,9100 群益,181,6000,1000
603,9101 群益敦南,180.5,7000,0
604,9103 群益松山,181,1000,0
605,9108 群益海山,180.5,2000,0
606,9108 群益海山,181,5000,196
607,910D 群益大興,180.5,24000,0
608,9133 群益新興,180.5,5000,0
609,9133 群益新興,181,10000,0
610,9135 群益經國,180.5,2000,0
611,9135 群益經國,181,4000,0
612,9136 群益西松,180.5,1000,0
613,9138 群益中港,180.5,1000,0
614,913B 群益新壢,180,1000,0
615,913B 群益新壢,180.5,3000,0
616,913B 群益新壢,181,4000,0
617,913C 群益信義,180.5,0,1000
618,913D 群益潭子,180.5,1000,0
619,913D 群益潭子,181,3000,1000
620,913E 群益基隆,181,2000,1000
621,913g 群益南三,181,3000,0
622,913H 群益屏東,180.5,1000,0
623,913I 群益萬華,180.5,1000,0
624,913N 群益土城,181,0,1000
625,913R 群益北高,181,100,0
626,913U 群益崇德,181,0,1000
627,9184 群益台中,181,1000,0
628,9186 群益新竹,180.5,5000,0
629,9186 群益新竹,181,4000,0
630,9187 群益彰化,180.5,1000,0
631,9187 群益彰化,181.5,1000,0
632,9188 群益三民,181,100,0
633,9189 群益桃園,181,3000,6
634,918A 群益中壢,181,2100,0
635,918c 群益鳳山,180,0,1000
636,918C 群益古亭,180,2000,0
637,918C 群益古亭,180.5,10000,0
638,918C 群益古亭,181,12000,1000
639,918d 群益內湖,180.5,1000,0
640,918d 群益內湖,181,5000,0
641,918D 群益東門,180.5,16000,0
642,918D 群益東門,181,1000,0
643,918e 群益大安,180.5,15000,0
644,918e 群益大安,181,208000,0
645,918E 群益南京,180.5,4000,0
646,918F 群益新店,181,0,1000
647,918F 群益新店,181.5,3000,0
648,918g 群益大甲,180.5,2000,0
649,918G 群益新莊,180.5,1000,0
650,918H 群益中山,180.5,1000,0
651,918H 群益中山,181,0,1000
652,918i 群益竹南,180.5,2000,0
653,918i 群益竹南,181,1000,608
654,918J 群益永和,181,3004,2000
655,918J 群益永和,181.5,1000,0
656,918K 群益東湖,180.5,2000,2000
657,918L 群益建成,180,1000,0
658,918M 群益嘉義,180.5,2000,0
659,918M 群益嘉義,181,3000,1000
660,918P 群益天母,181,1000,300
661,918s 群益丹鳳,181,5000,0
662,918u 群益瑞豐,180.5,1000,10000
663,918u 群益瑞豐,181,1000,0
664,918W 群益忠孝,180.5,3000,0
665,918W 群益忠孝,181,14000,0
666,9200 凱基,180.5,206000,0
667,9200 凱基,181,20000,0
668,9200 凱基,181.5,5000,72000
669,9202 凱基中港,180.5,31000,0
670,9202 凱基中港,181,0,1000
671,9204 凱基台中,180,2000,0
672,9204 凱基台中,180.5,49000,2000
673,9204 凱基台中,181,27000,0
674,9204 凱基台中,181.5,1000,0
675,9205 凱基三重,180.5,5000,2000
676,9205 凱基三重,181,9000,1000
677,9206 凱基高雄,180.5,2000,0
678,9206 凱基高雄,181,0,3000
679,9206 凱基高雄,181.5,0,1000
680,9207 凱基永和,181,10000,0
681,9207 凱基永和,181.5,2000,0
682,9208 凱基桃園,180.5,4000,0
683,9208 凱基桃園,181,2000,2000
684,9209 凱基岡山,181,0,2
685,920A 凱基板橋,180.5,1000,0
686,920A 凱基板橋,181,4030,2000
687,920C 凱基雙和,180.5,1000,1000
688,920D 凱基市府,180.5,1000,0
689,920D 凱基市府,181,12000,0
690,920E 凱基東門,180.5,1000,0
691,920E 凱基東門,181,1000,0
692,920F 凱基站前,181,100,345
693,920G 凱基彰化,180.5,2000,0
694,920H 凱基基隆,180.5,1000,0
695,920H 凱基基隆,181,0,14
696,920N 凱基湖口,180,1000,0
697,920N 凱基湖口,181,5000,0
698,920V 凱基新店,180.5,1000,0
699,920Z 凱基台東,180.5,32000,0
700,920Z 凱基台東,181,11000,0
701,9211 凱基台南,180.5,7000,0
702,9211 凱基台南,181,2000,7000
703,9212 凱基東港,181.5,1000,0
704,9215 凱基高美,180.5,2000,1000
705,9215 凱基高美,181,2000,1000
706,9216 凱基信義,180.5,1000,0
707,9216 凱基信義,181,1000,0
708,9216 凱基信義,181.5,0,1000
709,9217 凱基松山,180.5,1000,0
710,9217 凱基松山,181,1000,0
711,9218 凱基大直,180.5,1000,0
712,9218 凱基大直,181,1000,0
713,9218 凱基大直,181.5,0,1000
714,921A 凱基北中,181,0,1000
715,921C 凱基民權,181,45000,0
716,921F 凱基天母,181,20,0
717,921G 凱基五股,180.5,0,5000
718,921G 凱基五股,181,2000,0
719,921J 凱基土城,181,100,0
720,921M 凱基八德,180.5,1000,0
721,921M 凱基八德,181,0,1000
722,921S 凱基幸福,180.5,3000,0
723,921Y 凱基東勢,180.5,1000,0
