產業別,公司代號,名稱,股價日期,成交,漲跌價,漲跌幅,成交張數,市場,面值(元),股本(億),市值(億),成立年數,上市年數,董事長,總經理
生技醫療業,6523,達爾膚,3月2日,188.5,-1,-0.53%,217,上櫃,10,4.58,86.4,14,0.7,吳奕叡,許靜媛
半導體業,6532,瑞耘,3月2日,26.5,-1.8,-6.36%,"1,057",上櫃,10,3.16,8.38,19,0.4,呂學恒,呂學恒
生技醫療業,6535,順藥,3月2日,48.2,0.2,0.42%,244,上櫃,10,9.42,45.4,16.3,0.4,蔡長海,黃文英
電子零組件業,6538,倉和,3月2日,68.2,-1.6,-2.29%,41,上櫃,10,3.03,20.7,22.9,0.4,蔡富得,陳柑富
文化創意業,6542,隆中,3月2日,90.1,0.1,0.11%,27,上櫃,10,3,27,6.2,0.5,曾仲銘,熊家麒
光電業,6548,長華科,3月2日,295,0.5,0.17%,43,上櫃,10,2.46,72.6,7.2,0.5,黃嘉能,溫文郁
生技醫療業,6554,中美冠科-KY,3月2日,53.2,-1.3,-2.39%,238,上櫃,10,14.5,77.1,3.4,0.2,余國良,Jean Pierre Wery
光電業,6560,欣普羅,3月2日,91,-4.4,-4.61%,548,上櫃,10,1.72,15.6,17.4,0.1,陳義文,陳義文
半導體業,6568,宏觀,3月2日,157.5,-5,-3.08%,389,上櫃,10,2.25,35.4,10.3,0.2,林坤禧,孫德風
生技醫療業,6569,醫揚,3月2日,226,1,0.44%,70,上櫃,10,1.82,41.1,7.1,0.2,莊永順,莊永順
電機機械,6603,富強鑫,3月2日,12.05,0,0%,230,上櫃,10,12.3,14.8,25.6,12.9,王伯壎,蔡勝宗
電機機械,6609,瀧澤科,3月2日,23.45,0,0%,64,上櫃,10,7.1,16.7,45.6,13.4,瀧澤修三,戴雲錦
其他業,6803,崑鼎,3月2日,177.5,-1,-0.56%,80,上櫃,10,6.64,118,17.2,6.8,林俊華,廖俊吉吉
光電業,7402,邑錡,3月2日,68,0.4,0.59%,2,上櫃,10,1.87,12.7,13.3,1.2,陳世哲,陳世哲
半導體業,8024,佑華,3月2日,11.65,0.05,0.43%,26,上櫃,10,4.6,5.36,24.6,10.4,林振興,翁啟培
電機機械,8027,鈦昇,3月2日,23.4,1,4.46%,"3,465",上櫃,10,5.42,12.7,22.3,1.7,王明慶,陳坤山
電子通路業,8032,光菱,3月2日,25.1,0.05,0.20%,12,上櫃,10,5.18,13,29.5,13.4,呂全福,林修源
通信網路業,8034,榮群,3月2日,7.96,0.12,1.53%,303,上櫃,10,6.29,5,24.9,12.8,王慶橖,王慶橖
電子零組件業,8038,長園科,3月2日,45.7,-0.5,-1.08%,118,上櫃,10,5.65,25.8,19.5,3.3,張李琇玉,張惇育
半導體業,8040,九暘,3月2日,7.15,-0.03,-0.42%,40,上櫃,10,8.27,5.91,19.6,9.8,羅瑞祥,蕭捷勝
電子零組件業,8042,金山電,3月2日,57,0,0%,"1,573",上櫃,10,11,62.6,47,12.9,江士勳,江慶信
電子零組件業,8043,蜜望實,3月2日,17.9,0,0%,62,上櫃,10,7.99,14.3,27.8,13.4,林訓民,林訓民
資訊服務業,8044,網家,3月2日,231,7,3.12%,"5,962",上櫃,10,11,255,18.6,12.1,詹宏志,李宏麟
其他電子業,8047,星雲,3月2日,11,-0.35,-3.08%,17,上櫃,10,4.15,4.56,27.9,13.1,賴金森,石梁
通信網路業,8048,德勝,3月2日,26.25,-0.55,-2.05%,115,上櫃,10,5.33,14,35.6,7.5,林坤銘,楊育哲
光電業,8049,晶采,3月2日,15.85,0,0%,"1,021",上櫃,10,11.8,18.7,19,13.1,蘇漢傑,陳志湧
電腦及週邊設備業,8050,廣積,3月2日,64.2,-0.3,-0.47%,"2,478",上櫃,10,11.8,75.9,17,13.4,林秋旭,吳玉成
半導體業,8054,安國,3月2日,19.05,-0.05,-0.26%,124,上櫃,10,7.39,14.1,17.3,12.3,張琦棟,張琦棟
通信網路業,8059,凱碩,3月2日,13.1,0.1,0.77%,386,上櫃,10,9.11,11.9,18.7,7,沈軾榮,楊士立
光電業,8064,東捷,3月2日,18.55,-0.45,-2.37%,"5,906",上櫃,10,16.4,30.5,18.8,10.4,嚴瑞雄,陳贊仁
貿易百貨業,8066,來思達,3月2日,107,0.5,0.47%,524,上櫃,10,2.51,26.9,20.2,12.2,馮周金鑾,詹瑞德
電子通路業,8067,志旭,3月2日,4.69,-0.1,-2.09%,31,上櫃,10,4.48,2.1,27.9,12.9,陳曜芳,陳曜芳
電子通路業,8068,全達,3月2日,36.1,-1.5,-3.99%,85,上櫃,10,6.7,24.2,19.8,12.9,陳文琦,陳永源
光電業,8069,元太,3月2日,24.85,0,0%,"4,361",上櫃,10,114,283,24.7,12.9,柯富仁,李政昊
電子零組件業,8071,能率豐,3月2日,13.4,0.3,2.29%,23,上櫃,10,5.19,6.95,23.7,13.2,胡湘麒,胡湘麒
電子零組件業,8074,鉅橡,3月2日,31.9,0,0%,258,上櫃,10,7.52,24,21.1,13.1,莊煌星,莊煌星
電腦及週邊設備業,8076,伍豐,3月2日,60,-0.2,-0.33%,"1,012",上櫃,10,24.7,148,22.1,13.2,徐明哲,徐明哲
觀光事業,8077,洛碁,3月2日,23,1,4.55%,3,上櫃,10,8.06,18.5,22.6,12.2,江美玲,謝秀美
電子零組件業,8080,奧斯特,3月2日,14.95,-0.05,-0.33%,128,上櫃,10,6.4,9.57,23.2,12.8,許世弘,許世弘
電機機械,8083,瑞穎,3月2日,164.5,-0.5,-0.30%,102,上櫃,10,3.51,57.8,19.3,12.4,陳柏峰,陳柏津
電子通路業,8084,巨虹,3月2日,36.3,0.2,0.55%,47,上櫃,10,5.39,19.6,23.2,13,鄭月卿,蕭焜賢
其他電子業,8085,福華,3月2日,6.84,-0.13,-1.87%,"1,303",上櫃,10,15.7,10.8,46.5,13,林蔚山,許孟祺
半導體業,8086,宏捷科,3月2日,61,-0.4,-0.65%,"3,491",上櫃,10,14.3,87.2,18.2,7.8,祁幼銘,黃國鈞
光電業,8087,華鎂鑫,3月2日,8.53,-0.02,-0.23%,51,上櫃,10,2.99,2.55,19.5,13,楊慶堂,楊慶堂
半導體業,8088,品安,3月2日,21.3,0.8,3.90%,"2,787",上櫃,10,5.79,12.3,23.1,13,謝吳沛,謝吳沛
電子零組件業,8091,翔名,3月2日,55,0.3,0.55%,235,上櫃,10,6.07,33.4,25.2,12.7,吳宗豐,吳宗豐
其他電子業,8092,建暐,3月2日,7.86,0.11,1.42%,69,上櫃,10,3.89,3.05,32.7,13.1,李聰林,李聰林
電子零組件業,8093,保銳,3月2日,6.87,0.14,2.08%,329,上櫃,10,6.42,4.41,26.9,12.2,蘇彥文,蘇彥文
電子通路業,8096,擎亞,3月2日,16.15,-1.15,-6.65%,"5,041",上櫃,10,14,22.5,19.3,12.6,李熙俊,申東洙
通信網路業,8097,常珵,3月2日,13.1,0.1,0.77%,67,上櫃,10,2.67,3.49,30.7,13,林銜錄,林銜錄
資訊服務業,8099,大世科,3月2日,18.35,0,0%,63,上櫃,10,6.72,12.3,16.8,12.9,沈柏延,劉盈秀
電機機械,8107,大億科,3月2日,22.8,0.1,0.44%,67,上櫃,10,9.93,22.6,19.2,11.3,吳俊億,楊智元
電子零組件業,8109,博大,3月2日,62.3,0,0%,64,上櫃,10,6,37.4,24.7,11.9,廖本崇,廖本崇
光電業,8111,立碁,3月2日,5.85,0.01,0.17%,255,上櫃,10,11.7,6.85,27.7,13.1,童義興,童義興
電子零組件業,8121,越峰,3月2日,12.75,-0.15,-1.16%,248,上櫃,10,18.2,23.3,25.5,12,吳亦圭,吳憲聰
電子零組件業,8147,正淩,3月2日,38.5,-0.2,-0.52%,105,上櫃,10,2.49,9.57,30.4,3.8,徐季麟,陳言成
電子零組件業,8155,博智,3月2日,35.8,0.1,0.28%,421,上櫃,10,4.98,17.8,21.9,4.2,張永青,洪輝龍
通信網路業,8171,天宇,3月2日,11.6,-0.1,-0.85%,125,上櫃,10,5.15,5.97,33.4,5.2,吳祖榆,吳祖璋
通信網路業,8176,智捷,3月2日,10.85,0.4,3.83%,"4,282",上櫃,10,7.25,7.87,22,3.7,凡恩科技有限公司,謝金生
電子零組件業,8182,加高,3月2日,14.75,-0.05,-0.34%,88,上櫃,10,10.7,15.8,40.3,10.8,楊瑞陽,楊瑞陽
